Deployed,Period 0,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12,Period 13,Period 14,Period 15,Period 16,Period 17,Period 18,Period 19,Period 20,Period 21,Period 22,Period 23
Depl00,121.4536,114.9318,109.1084,102.5907,105.8292,110.7775,98.7629,80.8337,67.0626,58.0327,50.8777,45.6252,44.2295,45.4024,46.8387,47.7473,53.2337,59.6888,56.2853,48.1936,41.3536,36.6613,32.6883,29.6347
Depl01,128.0985,120.5975,112.2945,114.6294,118.743,104.9427,85.2545,70.3252,60.5828,52.9204,47.3206,45.7828,46.887,48.2655,49.103,54.6471,61.2515,57.7588,49.4553,42.4362,37.6211,33.5441,30.4105,29.7111
Depl02,136.1171,125.4325,126.4654,129.3664,113.0522,91.016,74.5155,63.8393,55.5283,49.4705,47.7286,48.7661,50.0609,50.801,56.3909,63.0984,59.4908,50.9382,43.7087,38.7492,34.5499,31.3224,30.6021,31.6148
Depl03,143.3514,142.6437,143.7433,123.8843,98.5526,79.9459,67.9784,58.7989,52.1653,50.1273,51.0313,52.2211,52.8246,58.459,65.2355,61.4099,52.5771,45.1149,39.9959,35.6615,32.3302,31.5866,32.632,33.8404
Depl04,164.4715,162.9923,138.1888,108.3759,86.8958,73.229,62.8837,55.4828,53.0879,53.8076,54.8213,55.2407,60.9078,67.7404,63.5981,54.3885,46.6678,41.3726,36.889,33.4429,32.6738,33.7552,35.0052,35.8087
Depl05,191.0599,158.8771,122.3627,96.6418,80.4708,68.4531,59.9527,57.0286,57.5023,58.2894,58.424,64.0965,70.9626,66.3535,56.5588,48.4742,42.9731,38.3161,34.7367,33.9379,35.061,36.3594,37.194,41.5081
Depl06,187.5604,141.6148,109.9049,90.2099,75.8712,65.8542,62.173,62.2252,62.6367,62.3847,68.0305,74.8924,69.697,59.162,50.5382,44.7487,39.8975,36.1705,35.3386,36.5082,37.8601,38.7292,43.2213,48.463
Depl07,167.3657,127.5702,103.0171,85.4515,73.3632,68.6264,68.1029,67.9735,67.1807,72.7222,79.5375,73.5947,62.1671,52.9,46.684,41.5549,37.6676,36.8014,38.0193,39.4272,40.3323,45.0103,50.469,47.5912
Depl08,150.2621,119.4907,97.7211,82.888,76.7358,75.3895,74.5128,72.9485,78.2903,84.9588,78.1024,65.607,55.5708,48.8623,43.3767,39.2533,38.3422,39.6111,41.0779,42.0209,46.8948,52.5819,49.5836,42.4554
Depl09,139.0112,112.2455,94.0936,86.1746,83.7742,81.9489,79.4392,84.4407,90.8407,82.9193,69.2342,58.345,51.1124,45.2415,40.8463,39.8246,41.1062,42.6241,43.6025,48.6599,54.5611,51.45,44.0534,37.801
Depl10,128.9781,107.0405,97.0637,93.3975,90.3712,86.6817,91.2137,97.2308,88.0465,73.0348,61.2431,53.4323,47.1417,42.4688,41.3249,42.5663,44.0743,45.0791,50.3078,56.4089,53.1923,45.5453,39.0811,34.6468
Depl11,121.128,108.9484,103.845,99.458,94.4154,98.3619,103.9034,93.36,76.9253,64.1554,55.7433,49.0249,44.0551,42.7949,44.0033,45.4768,46.4544,51.8381,58.1247,54.8104,46.9307,40.2699,35.7007,31.8317
